iter	RMSE
188	0.3154782236
189	0.3139607577
190	0.3139181415
191	0.3124766659
192	0.3110163455
193	0.3098300998
194	0.307837391
195	0.3065860685
196	0.3058739074
197	0.3058265822
198	0.3057863526
199	0.3047731669
200	0.3028454855
201	0.3008086068
202	0.2999311392
203	0.2984016401
204	0.2971402361
205	0.2966095204
206	0.295086952
207	0.2950481075
208	0.2943053508
209	0.2935337876
210	0.2924135176
211	0.2916180975
212	0.2915806078
213	0.2908135959
214	0.2898627968
215	0.2886834713
216	0.2886477524
217	0.2886130198
218	0.2870156855
219	0.2855474231
220	0.2847100239
221	0.2834763386
222	0.282898144
223	0.2828642589
224	0.282167022
225	0.2810414117
226	0.2800022402
227	0.2790525675
228	0.2783683288
229	0.277579376
230	0.2768128796
231	0.2767850784
232	0.2767540126
233	0.2753449667
234	0.2747083881
235	0.2734827226
236	0.2734517524
237	0.272810883
238	0.2727813883
239	0.2727530465
240	0.2720900305
241	0.2706445703
242	0.269354666
243	0.2682643005
244	0.2675682984
245	0.2675409517
246	0.2675176434
247	0.2662361551
248	0.2654872896
249	0.2639766052
250	0.2634429862
251	0.2626451591
252	0.2615872425
253	0.2615634536
254	0.2610828815
255	0.2605340484
256	0.2605111319
257	0.2597133132
258	0.2589194741
259	0.2588974599
260	0.2582151007
261	0.2581937852
262	0.2576192646
263	0.2571464661
264	0.2571228533
265	0.2562590833
266	0.2555920644
267	0.2549889345
268	0.2541382928
269	0.2539598133
270	0.2533384101
271	0.2527177699
272	0.2521033609
273	0.2520745276
274	0.2519267512
275	0.250922141
276	0.2500183381
277	0.249997854
278	0.2496567866
279	0.2490255394
280	0.248599844
281	0.2478196474
282	0.2473000311
283	0.2467313654
284	0.2467043973
285	0.2458673163
286	0.2458499637
287	0.2451926582
288	0.2442657012
289	0.2434003057
290	0.2432766045
291	0.2428700886
292	0.2419286624
293	0.2413522531
294	0.2408789366
295	0.2400620904
296	0.2396706486
297	0.2388437115
298	0.2382011648
299	0.2375270667
300	0.2366442521
301	0.2359058859
302	0.2353856614
303	0.2351104584
304	0.234695207
305	0.2343011427
306	0.233583054
307	0.2329719787
308	0.2324607687
309	0.2323158867
310	0.2321625038
311	0.2313908549
312	0.231024212
313	0.2303001651
314	0.2296888375
315	0.22933041
316	0.2290429625
317	0.228351849
318	0.2279261012
319	0.2271863011
320	0.2271190861
321	0.2267084767
322	0.2261022235
323	0.2258531858
324	0.2252296655
325	0.2249206375
326	0.2243927303
327	0.2237479611
328	0.2232285809
329	0.2227549965
330	0.2222984852
331	0.2216062763
332	0.2215913956
333	0.2212389635
334	0.2206836685
335	0.2203116963
336	0.2197893099
337	0.2196795585
338	0.219583175
339	0.2192195746
340	0.2191714784
341	0.2184999512
342	0.2179871456
343	0.2173616558
344	0.2168069516
345	0.2164546892
346	0.2163574293
347	0.2158016066
348	0.2154944867
349	0.2148961444
350	0.2148776084
351	0.2147407493
352	0.2143451669
353	0.214010649
354	0.2139945418
355	0.2139791268
356	0.2139659471
357	0.2139514723
358	0.2138894659
359	0.2137871007
360	0.2134457521
361	0.2130909554
362	0.2127160566
363	0.2122630495
364	0.2117594633
365	0.2112951403
366	0.2109930962
367	0.2109809294
368	0.2104346637
369	0.2101638753
370	0.2097244005
371	0.2093579064
372	0.209119963
373	0.2085961473
374	0.2081754308
375	0.2081611195
376	0.2080827803
377	0.208034601
378	0.2077252983
379	0.2076313811
380	0.2072249812
381	0.2066732829
382	0.2063976819
383	0.2058993521
384	0.2058291902
385	0.2054261617
386	0.2049866464
387	0.2046248081
388	0.2045225951
389	0.2042458646
390	0.2036324913
391	0.2033825854
392	0.2031146587
393	0.2025791476
394	0.2022448884
395	0.2019854022
396	0.2016869216
397	0.2016220099
398	0.2015609085
399	0.2010659657
400	0.2006422785
401	0.2003115819
402	0.1999903642
403	0.1997576249
404	0.1996845555
405	0.1992974443
406	0.1988760092
407	0.1984358533
408	0.1980271705
409	0.197800937
410	0.197478577
411	0.1972481038
412	0.1971634489
413	0.1967938646
414	0.1965018711
415	0.1961583241
416	0.1960599351
417	0.1956250224
418	0.1955793329
419	0.1953042525
420	0.1948990843
421	0.1944635382
422	0.19441974
423	0.1943690931
424	0.1943273064
425	0.1941285646
426	0.1939628569
427	0.1937489711
428	0.1936504005
429	0.1932932139
430	0.1931232617
431	0.1928368891
432	0.1925758246
433	0.1925363698
434	0.1923089574
435	0.1922713164
436	0.1918083625
437	0.1915008941
438	0.1913930527
439	0.1913580466
440	0.1912072398
441	0.1908979384
442	0.1906262417
443	0.1905050366
444	0.1900610599
445	0.1897591306
446	0.1895417678
447	0.1890577724
448	0.1890254409
449	0.1887483276
450	0.1884637477
451	0.1881225326
452	0.1876595906
453	0.1875111987
454	0.1873931711
455	0.1873440664
456	0.1869390697
457	0.1866113559
458	0.1861943908
459	0.1859491589
460	0.1856490209
461	0.1853013506
462	0.1852728023
463	0.1849741791
464	0.184571656
465	0.1843956844
466	0.1843788161
467	0.1843629757
468	0.184336062
469	0.1840929048
470	0.1838743166
471	0.1837321804
472	0.1835694268
473	0.1832571558
474	0.1832293495
475	0.183209458
476	0.1829364235
477	0.1828781049
478	0.1827534732
479	0.1826865216
480	0.1823848122
481	0.1822215247
482	0.1821941618
483	0.1820283516
484	0.1816769463
485	0.1816019347
486	0.1815935341
487	0.1810027297
488	0.1806485766
489	0.180408484
490	0.1802652374
491	0.1802279469
492	0.1802021474
493	0.1800419414
494	0.1797622957
495	0.1795940579
496	0.1793464078
497	0.1793377556
498	0.1792810203
499	0.178962311
500	0.1787067396
501	0.1783484732
502	0.1783073366
503	0.1781143766
504	0.1781079124
505	0.1780587332
506	0.1779945743
507	0.1779692179
508	0.177660289
509	0.1775912419
510	0.1772450654
511	0.1769200625
512	0.1769085989
513	0.1765527786
514	0.1763352199
515	0.1760735657
516	0.1758132602
517	0.1756627666
518	0.1756564879
519	0.175535186
520	0.1755291514
521	0.1754572804
522	0.1751522666
523	0.1750975549
524	0.1749099557
525	0.1747590973
526	0.1745211182
527	0.1742835607
528	0.1742202331
529	0.1739551814
530	0.1739451097
531	0.1737400182
532	0.1735242013
533	0.1734095578
534	0.1732308516
535	0.1729998827
536	0.1729778339
537	0.172972214
538	0.1728088378
539	0.1726033279
540	0.1725391695
541	0.1723572044
542	0.1722894797
543	0.1720767102
544	0.1719621023
545	0.1719045202
546	0.1716703175
547	0.1714217377
548	0.171090415
549	0.1710094969
550	0.1706825113
551	0.1704980648
552	0.1701873473
553	0.1699957405
554	0.169975274
555	0.1699310102
556	0.1696795418
557	0.1694711419
558	0.1691368166
559	0.1689556048
560	0.1685552718
561	0.1682803174
562	0.1679193224
563	0.1676329463
564	0.1675855348
565	0.1673864453
566	0.1670976504
567	0.1669208341
568	0.1666752391
569	0.1666188753
570	0.1664381403
571	0.1663799212
572	0.1663157466
573	0.1661480622
574	0.1659173637
575	0.1656602404
576	0.1654667456
577	0.1654614947
578	0.1652284766
579	0.1652233543
580	0.1651709523
581	0.164936197
582	0.1647314735
583	0.1647195
584	0.1645167325
585	0.1644626887
586	0.1642922895
587	0.1640510581
588	0.1640452309
589	0.1638663455
590	0.1635293055
591	0.163425629
592	0.1631896092
593	0.1631783429
594	0.1631707513
595	0.1631306185
596	0.1631202553
597	0.1629297865
598	0.1626875553
599	0.1624591156
600	0.1622141891
601	0.1619790183
602	0.1617928544
603	0.1615796444
604	0.1613681248
605	0.1611945476
606	0.1610418799
607	0.1609183398
608	0.1606396303
609	0.1604349255
610	0.1601618803
611	0.1599694056
612	0.1597679472
613	0.1595870695
614	0.1595438963
615	0.159382103
616	0.1592021461
617	0.1589995594
618	0.1588993709
619	0.1587053578
620	0.158535837
621	0.1583209955
622	0.1582403858
623	0.1581535976
624	0.1581486873
625	0.1579923552
626	0.1579180002
627	0.1577566619
628	0.1576890395
629	0.157534241
630	0.1573289784
631	0.1571313272
632	0.1570817187
633	0.1569467341
634	0.156685802
635	0.1565741223
636	0.1564035841
637	0.1562818436
638	0.1562778001
639	0.1560705466
640	0.155872454
641	0.1558561578
642	0.1556589901
643	0.1555224455
644	0.1554905877
645	0.1553192196
646	0.1551543172
647	0.1550916747
648	0.1549964007
649	0.1548830348
650	0.1546444675
651	0.1543557385
652	0.1543203799
653	0.1543002495
654	0.1542006787
655	0.1540497656
656	0.1539834497
657	0.153917814
658	0.1539138323
659	0.1536897918
660	0.1535604217
661	0.1534389211
662	0.1533872566
663	0.1532910362
664	0.1531184777
665	0.1528394033
666	0.1527083623
667	0.1525340175
668	0.1524946924
669	0.1523786072
670	0.1523480898
671	0.152343971
672	0.1522689337
673	0.1520827222
674	0.1519743763
675	0.1518411436
676	0.1516686292
677	0.1515901189
678	0.1514219267
679	0.1513944603
680	0.1510903292
681	0.1509275237
682	0.1508351214
683	0.1506859451
684	0.1504749462
685	0.1503320292
686	0.1502171618
687	0.1500974608
688	0.1499353851
689	0.149913107
690	0.1497695544
691	0.1496805174
692	0.1495918704
693	0.1495677611
694	0.1493338346
695	0.1493236674
696	0.149206199
697	0.1491462731
698	0.1490198921
699	0.1488536429
700	0.1487402119
701	0.1485137143
702	0.1483693627
703	0.1483108462
704	0.1482920725
705	0.1482233265
706	0.1479349192
707	0.1478537263
708	0.1478403315
709	0.147730208
710	0.1477263833
711	0.1475550051
712	0.1473581279
713	0.1472194778
714	0.1471465201
715	0.1469842052
716	0.1467986297
717	0.1466080322
718	0.1465346248
719	0.1465216728
720	0.146350942
721	0.1462433318
722	0.1461245734
723	0.1458992787
724	0.1457080917
725	0.1455722694
726	0.145375039
727	0.1453475137
728	0.1451870756
729	0.1451503828
730	0.1450315331
731	0.1449687622
732	0.1449124904
733	0.1449040782
734	0.1448893617
735	0.1447333944
736	0.14458917
737	0.144452772
738	0.1443140808
739	0.1442988131
740	0.1442901154
741	0.1442485631
742	0.1440994109
743	0.1440645207
744	0.1440611568
745	0.143936732
746	0.1438817436
747	0.1438780884
748	0.1438745375
749	0.1436981609
750	0.1434683176
751	0.1434535237
752	0.143263601
753	0.1432388424
754	0.1431442605
755	0.1430465442
756	0.1428937989
757	0.1427922668
758	0.1427578403
759	0.1426112259
760	0.1424542062
761	0.1423610563
762	0.1423406815
763	0.1422310634
764	0.1421328119
765	0.1419941248
766	0.1419798874
767	0.1419661997
768	0.1419202048
769	0.1417455665
770	0.1417230349
771	0.1416112961
772	0.1415891692
773	0.1415710625
774	0.1414929607
775	0.1414518751
776	0.1414483913
777	0.1412620022
778	0.1411413017
779	0.1411356631
780	0.1409578895
781	0.1408632081
782	0.1406883153
783	0.1406383454
784	0.1406350709
785	0.1406157301
786	0.1406125583
787	0.1404354159
788	0.1403897819
789	0.1403752989
790	0.1402562092
791	0.1402121993
792	0.1400733219
793	0.1399869083
794	0.1398400405
795	0.1397319758
796	0.1397286299
797	0.1396677955
798	0.1395624957
799	0.1394449226
800	0.1394416499
801	0.1394118877
802	0.1392497466
803	0.139212004
804	0.1392088078
805	0.1391592625
806	0.1390452767
807	0.1389345131
808	0.1389214358
809	0.1388727794
810	0.1387463004
811	0.1386489593
812	0.1386411693
813	0.138614131
814	0.1385142006
815	0.1384970756
816	0.1384939411
817	0.1383819356
818	0.1382713558
819	0.138233488
820	0.1381345621
821	0.1381114129
822	0.1379544997
823	0.137951406
824	0.1378613117
825	0.1378582572
826	0.1377743498
827	0.1376903025
828	0.1375793721
829	0.1375000388
830	0.1372621459
831	0.1372271762
832	0.1371012712
833	0.1369755669
834	0.1368378904
835	0.1367349555
836	0.1367224012
837	0.1367077332
838	0.1366730479
839	0.1365663515
840	0.1364377317
841	0.136319674
842	0.1361784999
843	0.1360318754
844	0.1359936903
845	0.1358691984
846	0.1357684895
847	0.135685874
848	0.1356827879
849	0.1356131382
850	0.1354420474
851	0.1352679155
852	0.1352648989
853	0.1351214737
854	0.135018968
855	0.1349661958
856	0.1349417289
857	0.1347700067
858	0.1346890254
859	0.134657062
860	0.1345246157
861	0.134468294
862	0.1342824223
863	0.134238041
864	0.1341384897
865	0.1341357593
866	0.134087939
867	0.1340671484
868	0.1340029887
869	0.1337967829
870	0.1337192085
871	0.1335452274
872	0.1333690055
873	0.1331666673
874	0.1331447349
875	0.1331252114
876	0.1330370828
877	0.1330020156
878	0.1329756914
879	0.1328827429
880	0.1327986628
881	0.1327394508
882	0.1327097149
883	0.1326092553
884	0.1326063587
885	0.1325396734
886	0.1324408546
887	0.1323458801
888	0.132172828
889	0.1321699718
890	0.1321672079
891	0.1320371891
892	0.1320307676
893	0.131976702
894	0.1318438506
895	0.1317041271
896	0.1316077427
897	0.1315845441
898	0.1314577853
899	0.1314547421
900	0.1314517807
901	0.1314491366
902	0.131393886
903	0.1313717806
904	0.1313689296
905	0.1312328656
906	0.1312300794
907	0.131227391
908	0.1311472711
909	0.1311445992
910	0.1311419925
911	0.131139443
912	0.1311369687
913	0.1311101743
914	0.1310577053
915	0.131055356
916	0.1309205722
917	0.1309182297
918	0.1308976525
919	0.1308297578
920	0.1307880881
921	0.1306257473
922	0.1306234813
923	0.1304889686
924	0.1304659299
925	0.1304504938
926	0.1303827094
927	0.1303804942
928	0.1303745179
929	0.1303521153
930	0.1302330768
931	0.1301202387
932	0.1300114597
933	0.12991051
934	0.1298752235
935	0.1298327077
936	0.1298305079
937	0.1298065633
938	0.1297458703
939	0.129729509
940	0.1297083112
941	0.1296919512
942	0.1295808646
943	0.1294570209
944	0.1294548961
945	0.1294326489
946	0.1293154578
947	0.1292491631
948	0.1291683134
949	0.129066848
950	0.1289898434
951	0.1289876005
952	0.1289700406
953	0.1289129162
954	0.1288298241
955	0.1287562193
956	0.1286842631
957	0.1285996376
958	0.1285504605
959	0.1284198536
960	0.128247105
961	0.1282093144
962	0.1281199377
963	0.1280506127
964	0.1280484777
965	0.1280459746
966	0.127901563
967	0.1278199801
968	0.1277451767
969	0.1276608537
970	0.1276585533
971	0.1276561639
972	0.1276447006
973	0.1275899205
974	0.1274783785
975	0.1274331058
976	0.1274308246
977	0.1273443036
978	0.1272853039
979	0.1272577866
980	0.1272273103
981	0.127225076
982	0.1271060578
983	0.1270767184
984	0.1270738854
985	0.12705939
986	0.1269378135
987	0.1269356906
988	0.1268979122
989	0.12679352
990	0.1266906028
991	0.1265268979
992	0.1264316892
993	0.1263078496
994	0.126305873
995	0.1262934854
996	0.1262479322
997	0.1262258578
998	0.1262103438
999	0.1260710829
